Exit Status,Has CPA,Years Experience,Current Salary + Bonus,Years Public Before Exit,Current Industry,What COL is your region?,Gender,Line of Service,Average Hours Per Week
I have never worked at a public accounting firm,No,4.0,75000.0,,Other,High,Male,Other,50.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,65000.0,,Public Accounting,Low,Male,Audit,50.0
I have already exited from a mid-tier or local accounting firm,No,4.0,75000.0,3.0,Technology,Low,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,No,4.0,95000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,4.0,88000.0,,Public Accounting,Medium,Male,Advisory,45.0
I have already exited from a Big 4 Accounting firm,Yes,4.0,103000.0,3.0,Government,High,Female,Audit,
I have already exited from a Big 4 Accounting firm,Yes,4.0,135000.0,4.0,Finance,High,Male,Tax,60.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,4.0,80000.0,,Public Accounting,Medium,Male,Tax,45.0
I have never worked at a public accounting firm,No,4.0,55000.0,,Construction,Medium,Male,Other,40.0
I am currently working at a mid-tier or local accounting firm,No,4.0,72000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,Yes,4.0,100000.0,,Public Accounting,High,Male,Tax,30.0
I have never worked at a public accounting firm,No,4.0,63875.0,,Finance,Medium,Male,Other,45.0
I have never worked at a public accounting firm,No,4.0,77000.0,,Hospitality,Medium,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,75000.0,,Public Accounting,Low,Male,Audit,50.0
I am currently working at a Big 4 accounting firm,Yes,4.0,80000.0,,Public Accounting,Medium,Female,Advisory,45.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,69000.0,,Public Accounting,Medium,Female,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,69000.0,,Public Accounting,Medium,Female,Tax,45.0
I have already exited from a Big 4 Accounting firm,Yes,4.0,100000.0,3.0,Medical,High,Male,Audit,
I have already exited from a Big 4 Accounting firm,Yes,4.0,109000.0,3.0,Technology,High,Male,Audit,45.0
I have already exited from a Big 4 Accounting firm,Yes,4.0,160000.0,4.0,Finance,High,Male,Tax,50.0
I am currently working at a mid-tier or local accounting firm,Yes,4.0,64000.0,,Public Accounting,Low,Male,Tax and Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,4.25,70000.0,,Public Accounting,Low,Male,Tax,42.0
I am currently working at a Big 4 accounting firm,No,4.5,110000.0,,Public Accounting,High,Female,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,4.5,58000.0,,Public Accounting,Medium,Female,Tax,
I have never worked at a public accounting firm,No,4.5,71500.0,,Technology,Medium,Male,Other,
I have never worked at a public accounting firm,No,4.5,170000.0,,Finance,High,Male,Other,
I have already exited from a mid-tier or local accounting firm,Yes,4.5,135000.0,2.5,Technology,High,Male,Audit,35.0
I am currently working at a Big 4 accounting firm,Yes,4.5,95000.0,,Public Accounting,High,Male,Audit,40.0
I have already exited from a mid-tier or local accounting firm,Yes,4.5,86250.0,1.0,Technology,Medium,Female,Audit,45.0
I have already exited from a Big 4 Accounting firm,Yes,4.0,80000.0,3.5,Other,High,Female,Audit,40.0
I am currently working at a Big 4 accounting firm,Yes,4.75,76000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,5.0,76700.0,,Public Accounting,High,Male,Advisory,
I am currently working at a Big 4 accounting firm,Yes,5.0,75000.0,,Public Accounting,Low,Male,Audit,
I have never worked at a public accounting firm,No,5.0,150000.0,,Energy,Medium,Undisclosed,Other,
I am currently working at a mid-tier or local accounting firm,No,5.0,68500.0,,Public Accounting,Low,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,5.0,85000.0,,Public Accounting,Medium,Male,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,5.0,155000.0,2.5,Technology,High,Male,Audit,
I have never worked at a public accounting firm,No,5.0,100000.0,,Transportation,High,Female,Other,
I am currently working at a mid-tier or local accounting firm,Yes,5.0,116000.0,,Public Accounting,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,5.0,116000.0,,Public Accounting,High,Male,Tax,
I am currently working at a Big 4 accounting firm,Yes,5.0,133000.0,,Public Accounting,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,5.0,85000.0,,Public Accounting,High,Male,Tax,
I have already exited from a mid-tier or local accounting firm,No,5.0,88000.0,4.0,Finance,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,5.0,100000.0,,Public Accounting,Low,Male,Audit,
I have never worked at a public accounting firm,No,5.0,60000.0,,Construction,High,Male,Other,
I have never worked at a public accounting firm,No,5.0,115000.0,,Technology,High,Female,Other,
I am currently working at a Big 4 accounting firm,Yes,5.0,92000.0,,Public Accounting,Medium,Male,Advisory,
I am currently working at a Big 4 accounting firm,No,5.0,83000.0,,Public Accounting,Low,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,5.0,100000.0,,Public Accounting,High,Undisclosed,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,5.0,120000.0,3.0,Finance,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,5.0,74000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,Yes,5.0,110000.0,,Public Accounting,Medium,Female,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,5.0,70000.0,,Public Accounting,Low,Male,Advisory,
I have never worked at a public accounting firm,No,5.0,52000.0,,Technology,Medium,Female,Other,
I have never worked at a public accounting firm,Yes,5.0,70000.0,,Other,Medium,Male,Other,
I have already exited from a mid-tier or local accounting firm,Yes,5.0,90000.0,5.0,Technology,Medium,Female,Audit,
I have already exited from a Big 4 Accounting firm,Yes,4.0,72000.0,1.0,Other,Medium,Male,Audit,45.0
I have already exited from a mid-tier or local accounting firm,Yes,5.0,107000.0,5.0,Other,Medium,Female,Audit,
I have already exited from a mid-tier or local accounting firm,No,5.0,105000.0,1.5,Other,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,5.0,100000.0,,Public Accounting,High,Male,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,5.0,80500.0,3.5,Construction,Medium,Male,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,5.0,75000.0,4.0,Technology,Medium,Female,Tax,
I am currently working at a mid-tier or local accounting firm,No,5.0,62500.0,,Public Accounting,Low,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,5.0,62500.0,,Public Accounting,Low,Male,Tax,
I have never worked at a public accounting firm,No,5.0,125000.0,,Other,Medium,Male,Other,
I am currently working at a mid-tier or local accounting firm,Yes,5.0,73195.0,,Public Accounting,Medium,Female,Tax,
I have never worked at a public accounting firm,No,5.0,105000.0,,Manufacturing,Medium,Male,Other,
I have never worked at a public accounting firm,No,5.0,90000.0,,Other,Medium,Male,Other,
I am currently working at a Big 4 accounting firm,Yes,5.0,78000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,5.0,86000.0,,Public Accounting,Medium,Male,Audit,
I have already exited from a Big 4 Accounting firm,Finishing Exp Req,5.0,77000.0,2.0,Hospitality,Medium,Undisclosed,Tax,
I am currently working at a Big 4 accounting firm,Yes,5.0,115000.0,,Public Accounting,High,Male,Tax,
I am currently working at a Big 4 accounting firm,Yes,5.0,117200.0,,Public Accounting,High,Female,Advisory,
I have already exited from a Big 4 Accounting firm,Yes,4.0,97000.0,4.0,Medical,Low,Female,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,5.0,80000.0,,Public Accounting,Medium,Female,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,5.0,77000.0,3.0,Other,Medium,Male,Tax,
I have never worked at a public accounting firm,Yes,5.0,95000.0,,Other,Medium,Female,Advisory,
I am currently working at a mid-tier or local accounting firm,No,5.0,95000.0,,Public Accounting,High,Male,Audit,
I have never worked at a public accounting firm,Yes,5.0,106000.0,,Government,Medium,Female,Audit,
I am currently working at a Big 4 accounting firm,Yes,5.0,83400.0,,Public Accounting,Medium,Female,Audit,
I am currently working at a Big 4 accounting firm,Yes,5.0,102000.0,,Public Accounting,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,5.0,95000.0,,Public Accounting,High,Female,Tax,
I am currently working at a Big 4 accounting firm,Yes,5.0,125000.0,,Public Accounting,High,Male,Audit,
I have already exited from a Big 4 Accounting firm,Yes,5.0,100000.0,5.0,Finance,Medium,Male,Tax,
I have never worked at a public accounting firm,No,5.0,90000.0,,Other,Medium,Male,Other,
I have never worked at a public accounting firm,No,5.0,110000.0,,Finance,High,Male,Tax,40.0
I have already exited from a Big 4 Accounting firm,No,4.0,95000.0,3.0,Other,Medium,Female,Advisory,50.0
I am currently working at a mid-tier or local accounting firm,Yes,5.0,130000.0,,Public Accounting,Medium,Male,Advisory,40.0
I am currently working at a mid-tier or local accounting firm,Yes,5.0,130000.0,,Public Accounting,Medium,Male,Advisory,40.0
I am currently working at a mid-tier or local accounting firm,Yes,5.0,95000.0,,Public Accounting,Medium,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,No,5.0,72500.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,5.0,110000.0,,Public Accounting,High,Male,Advisory,45.0
I am currently working at a mid-tier or local accounting firm,Yes,5.0,98500.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,No,5.0,135000.0,,Public Accounting,Medium,Male,Tax,
I have already exited from a Big 4 Accounting firm,Yes,4.0,90000.0,2.0,Finance,High,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,5.0,90000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,5.0,60000.0,,Public Accounting,High,Male,Tax,45.0
I have never worked at a public accounting firm,Yes,5.0,93600.0,,Other,High,Male,Tax,42.0
I am currently working at a Big 4 accounting firm,Yes,5.0,96000.0,,Public Accounting,Low,Female,Advisory,45.0
I am currently working at a Big 4 accounting firm,Yes,5.0,113000.0,,Public Accounting,Medium,Male,Advisory,55.0
I am currently working at a mid-tier or local accounting firm,Yes,5.0,120000.0,,Public Accounting,High,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,Yes,5.0,80800.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,5.0,85000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,No,5.0,67600.0,,Public Accounting,Medium,Male,Audit,40.0
I have already exited from a Big 4 Accounting firm,Yes,4.0,107500.0,3.0,Other,Medium,Male,Tax,50.0
I am currently working at a Big 4 accounting firm,Yes,5.0,92000.0,,Public Accounting,Low,Female,Audit,50.0
I am currently working at a mid-tier or local accounting firm,Yes,5.0,73000.0,,Public Accounting,Low,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Yes,5.0,97000.0,,Public Accounting,High,Male,Audit,40.0
I have already exited from a Big 4 Accounting firm,Yes,4.0,112000.0,3.0,Other,Medium,Male,Audit,32.0
I am currently working at a mid-tier or local accounting firm,Yes,5.0,95000.0,,Public Accounting,Medium,Male,Advisory,70.0
I have already exited from a mid-tier or local accounting firm,No,5.0,50000.0,4.0,Manufacturing,Medium,Male,Advisory,40.0
I have never worked at a public accounting firm,Yes,5.0,103000.0,,Finance,Medium,Male,Other,37.5
I am currently working at a Big 4 accounting firm,No,5.0,170000.0,,Public Accounting,Medium,Male,Tax,50.0
I am currently working at a Big 4 accounting firm,Yes,5.0,135000.0,,Public Accounting,High,Male,Advisory,50.0
I have already exited from a mid-tier or local accounting firm,Yes,5.0,85000.0,5.0,Medical,High,Male,Tax,35.0
I have already exited from a Big 4 Accounting firm,Yes,5.0,80000.0,4.0,Other,Low,Female,Audit,
I have never worked at a public accounting firm,Yes,5.5,83400.0,,Government,Medium,Female,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,5.5,70000.0,2.5,Manufacturing,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,5.5,96000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,No,5.6,82862.0,,Public Accounting,High,Male,Advisory,48.0
I am currently working at a mid-tier or local accounting firm,Yes,5.75,95000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,6.0,72000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,Yes,6.0,105000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,6.0,90000.0,,Public Accounting,Medium,Male,Advisory,
I am currently working at a mid-tier or local accounting firm,Yes,6.0,54000.0,,Public Accounting,Low,Female,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,6.0,96000.0,,Public Accounting,Low,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,6.0,60000.0,,Public Accounting,Low,Female,Other,
I am currently working at a Big 4 accounting firm,Yes,6.0,100000.0,,Public Accounting,High,Male,Advisory,
I am currently working at a mid-tier or local accounting firm,Yes,6.0,85000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,6.0,85000.0,,Public Accounting,Medium,Male,Tax,
I have already exited from a Big 4 Accounting firm,Yes,5.0,88000.0,2.0,Manufacturing,Medium,Male,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,6.0,140000.0,5.0,Finance,Medium,Male,Audit,
I have never worked at a public accounting firm,No,6.0,82000.0,,Manufacturing,High,Male,Other,
I have already exited from a mid-tier or local accounting firm,Yes,6.0,90000.0,4.0,Other,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,6.0,93000.0,,Public Accounting,Medium,Male,Advisory,
I am currently working at a mid-tier or local accounting firm,No,6.0,40000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,6.0,108000.0,,Public Accounting,Medium,Male,Tax,
I have never worked at a public accounting firm,No,6.0,48000.0,,Technology,Medium,Female,Other,
I have never worked at a public accounting firm,No,6.0,80000.0,,Other,High,Male,Other,
I have already exited from a mid-tier or local accounting firm,Yes,6.0,75000.0,3.0,Medical,Medium,Female,Other,
I am currently working at a mid-tier or local accounting firm,No,6.0,80000.0,,Public Accounting,Medium,Male,Tax,
I have already exited from a Big 4 Accounting firm,Yes,5.0,85000.0,3.0,Other,Medium,Female,Audit,45.0
I have already exited from a mid-tier or local accounting firm,Yes,6.0,110000.0,1.5,Finance,High,Female,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,6.0,90000.0,4.0,Other,High,Male,Audit,
I have never worked at a public accounting firm,No,6.0,110000.0,,Medical,Medium,Male,Other,
I am currently working at a mid-tier or local accounting firm,Yes,6.0,110000.0,,Public Accounting,Medium,Male,Tax,
I have already exited from a Big 4 Accounting firm,Yes,5.5,83000.0,2.0,Manufacturing,Medium,Female,Audit,
I have already exited from a Big 4 Accounting firm,Yes,6.0,170000.0,4.0,Technology,High,Male,Audit,
I have never worked at a public accounting firm,No,6.0,100000.0,,Other,High,Male,Other,
I have already exited from a mid-tier or local accounting firm,No,6.0,105000.0,1.0,Manufacturing,Medium,Male,Audit,
I have already exited from a mid-tier or local accounting firm,No,6.0,57500.0,3.0,Other,Medium,Male,Audit,
I have already exited from a Big 4 Accounting firm,Yes,6.0,130000.0,3.0,Finance,Low,Male,Audit,
I have never worked at a public accounting firm,Yes,6.0,90000.0,,Other,Low,Male,Other,
I have never worked at a public accounting firm,No,6.0,102000.0,,Finance,High,Male,Advisory,
I am currently working at a Big 4 accounting firm,Yes,6.0,140000.0,,Public Accounting,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,6.0,175000.0,,Public Accounting,Medium,Undisclosed,Advisory,
I have already exited from a Big 4 Accounting firm,Yes,6.0,78000.0,5.0,Other,Low,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,6.0,97500.0,,Public Accounting,High,Male,Tax,
I have never worked at a public accounting firm,No,6.0,70000.0,,Finance,High,Male,Corporate,40.0
I have already exited from a Big 4 Accounting firm,Yes,4.5,105000.0,2.5,Aerospace,High,Male,Tax,60.0
I am currently working at a Big 4 accounting firm,No,6.0,125000.0,,Public Accounting,High,Female,Advisory,45.0
I have never worked at a public accounting firm,Yes,6.0,111500.0,,Finance,High,Female,Advisory,42.0
I have never worked at a public accounting firm,No,6.0,75000.0,,Transportation,Medium,Male,Other,40.0
I have already exited from a mid-tier or local accounting firm,Yes,6.0,73500.0,3.5,Medical,Low,Female,Tax,38.0
I am currently working at a mid-tier or local accounting firm,Yes,6.0,95000.0,,Public Accounting,Medium,Male,Tax,40.0
I have already exited from a Big 4 Accounting firm,Yes,5.0,95000.0,3.0,Hospitality,Medium,Female,Tax,45.0
I am currently working at a Big 4 accounting firm,No,6.0,188000.0,,Public Accounting,High,Male,Tax,55.0
I have already exited from a Big 4 Accounting firm,Yes,6.0,110000.0,2.0,Technology,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,6.0,119000.0,,Public Accounting,High,Female,Tax,60.0
I am currently working at a mid-tier or local accounting firm,Yes,6.0,97000.0,,Public Accounting,Medium,Male,Tax,50.0
I am currently working at a mid-tier or local accounting firm,Yes,6.0,97000.0,,Public Accounting,Medium,Male,Tax,50.0
I have never worked at a public accounting firm,Finishing Exp Req,6.0,112500.0,,Technology,Low,Male,Other,35.0
I have already exited from a Big 4 Accounting firm,Yes,5.0,85000.0,2.5,Medical,Low,Male,Other,35.0
I am currently working at a Big 4 accounting firm,No,6.5,240000.0,,Public Accounting,High,Male,Other,60.0
I have already exited from a Big 4 Accounting firm,Yes,6.0,130000.0,3.0,Construction,High,Female,Audit,
I am currently working at a mid-tier or local accounting firm,No,7.0,75000.0,,Public Accounting,Medium,Male,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,7.0,95000.0,3.5,Finance,High,Female,Audit,
I am currently working at a Big 4 accounting firm,Yes,7.0,130000.0,,Public Accounting,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,7.0,101000.0,,Public Accounting,Medium,Female,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,7.0,110000.0,,Public Accounting,Medium,Undisclosed,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,7.0,117000.0,,Public Accounting,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,7.0,88000.0,,Public Accounting,Low,Male,Audit,
I have already exited from a Big 4 Accounting firm,Yes,6.0,113000.0,4.0,Other,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,7.0,85000.0,,Public Accounting,Low,Female,Advisory,
I have already exited from a mid-tier or local accounting firm,Yes,7.0,70000.0,3.0,Manufacturing,Medium,Male,Audit,
I have never worked at a public accounting firm,No,7.0,60000.0,,Construction,Low,Female,Other,
I have never worked at a public accounting firm,No,7.0,130000.0,,Other,High,Male,Other,
I have never worked at a public accounting firm,No,7.0,38000.0,,Manufacturing,Low,Female,Corporate,
I have already exited from a Big 4 Accounting firm,Yes,6.0,220000.0,5.0,Other,High,Male,Audit,45.0
I have never worked at a public accounting firm,Yes,7.0,110000.0,,Manufacturing,Medium,Female,Other,
I am currently working at a mid-tier or local accounting firm,Yes,7.0,90000.0,,Public Accounting,Medium,Female,Tax,
I have already exited from a mid-tier or local accounting firm,Yes,7.0,115000.0,7.0,Other,High,Male,Audit,
I have already exited from a Big 4 Accounting firm,Yes,5.0,125000.0,5.0,Technology,High,Female,Audit,50.0
I am currently working at a Big 4 accounting firm,Yes,7.0,107800.0,,Public Accounting,High,Male,Audit,
I have already exited from a Big 4 Accounting firm,Yes,6.0,140000.0,5.5,Manufacturing,High,Male,Audit,45.0
I have never worked at a public accounting firm,Yes,7.0,149000.0,,Technology,High,Male,Other,55.0
I am currently working at a mid-tier or local accounting firm,Yes,7.0,70000.0,,Public Accounting,Medium,Female,Tax,40.0
I have already exited from a Big 4 Accounting firm,Yes,5.0,132000.0,5.0,Manufacturing,Low,Female,Advisory,40.0
I am currently working at a mid-tier or local accounting firm,Yes,7.0,101000.0,,Public Accounting,High,Male,Audit,45.0
I have already exited from a Big 4 Accounting firm,No,5.0,104000.0,5.0,Technology,Medium,Male,Advisory,45.0
I am currently working at a mid-tier or local accounting firm,Yes,7.0,98000.0,,Public Accounting,Low,Male,Audit,45.0
I have never worked at a public accounting firm,Yes,7.0,130000.0,,Government,High,Female,Audit,60.0
I have already exited from a mid-tier or local accounting firm,Yes,7.0,83000.0,4.0,Other,High,Male,Audit,40.0
I have already exited from a mid-tier or local accounting firm,No,7.0,65000.0,5.0,Manufacturing,Low,Male,Tax,45.0
I have already exited from a Big 4 Accounting firm,No,6.0,108000.0,3.0,Other,High,Female,Advisory,35.0
I have never worked at a public accounting firm,Yes,7.0,120000.0,,Other,High,Male,Other,45.0
I am currently working at a mid-tier or local accounting firm,Yes,7.0,95400.0,,Public Accounting,Low,Female,Audit,45.0
I am currently working at a mid-tier or local accounting firm,No,7.0,95000.0,,Public Accounting,High,Female,Advisory,40.0
I have already exited from a Big 4 Accounting firm,No,6.0,220000.0,1.0,Technology,High,Male,Advisory,35.0
I have never worked at a public accounting firm,Yes,7.0,70000.0,,Medical,Low,Female,Other,45.0
I have already exited from a mid-tier or local accounting firm,No,7.0,102000.0,1.75,Technology,High,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,7.0,105000.0,,Public Accounting,High,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Yes,7.5,85000.0,,Public Accounting,Low,Female,Tax,
I have already exited from a Big 4 Accounting firm,Yes,5.0,105000.0,3.0,Construction,High,Undisclosed,Tax,55.0
I have already exited from a mid-tier or local accounting firm,Yes,8.0,94000.0,7.0,Other,Medium,Male,Tax,
I have never worked at a public accounting firm,No,8.0,130000.0,,Construction,Medium,Male,Other,
I am currently working at a mid-tier or local accounting firm,Yes,8.0,93170.0,,Public Accounting,Low,Male,Audit,
I have already exited from a mid-tier or local accounting firm,No,8.0,115000.0,4.0,Government,High,Female,Tax,
I have already exited from a mid-tier or local accounting firm,Yes,8.0,125000.0,3.0,Finance,High,Male,Audit,
I have never worked at a public accounting firm,No,8.0,111000.0,,Manufacturing,Medium,Male,Other,
I have already exited from a Big 4 Accounting firm,Yes,7.0,125000.0,1.0,Finance,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,8.0,73000.0,,Public Accounting,Low,Undisclosed,Tax,
I am currently working at a Big 4 accounting firm,Yes,8.0,108500.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,Yes,8.0,140000.0,,Public Accounting,High,Female,Tax,
I have already exited from a mid-tier or local accounting firm,No,8.0,53250.0,2.5,Manufacturing,Low,Female,Tax,
I have never worked at a public accounting firm,Yes,8.0,91000.0,,Medical,Low,Male,Other,
I have already exited from a mid-tier or local accounting firm,No,8.0,112000.0,2.5,Finance,Medium,Male,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,8.0,66000.0,5.0,Government,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,8.0,170000.0,,Public Accounting,High,Male,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,8.0,132000.0,2.0,Technology,High,Male,Audit,
I have already exited from a Big 4 Accounting firm,Yes,7.0,120000.0,3.0,Technology,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,8.0,140000.0,,Public Accounting,High,Female,Tax,
I have never worked at a public accounting firm,Yes,8.0,138000.0,,Energy,High,Male,Other,
I am currently working at a Big 4 accounting firm,No,8.0,130000.0,,Public Accounting,High,Male,Tax,42.0
I am currently working at a Big 4 accounting firm,Yes,8.0,118000.0,,Public Accounting,Medium,Male,Audit,30.0
I have never worked at a public accounting firm,No,8.0,65000.0,,Manufacturing,Low,Female,Other,45.0
I am currently working at a mid-tier or local accounting firm,Yes,8.0,77000.0,,Public Accounting,Low,Male,Audit,46.0
I have never worked at a public accounting firm,Finishing Exp Req,8.0,142000.0,,Other,Medium,Male,Other,60.0
I have never worked at a public accounting firm,Yes,8.0,122000.0,,Other,Medium,Male,Other,40.0
I have already exited from a mid-tier or local accounting firm,No,8.0,65000.0,1.0,Technology,Medium,Female,Tax,35.0
I have never worked at a public accounting firm,Finishing Exp Req,8.0,125000.0,,Manufacturing,Medium,Male,Other,45.0
I have already exited from a Big 4 Accounting firm,Yes,6.5,93000.0,3.0,Other,High,Female,Tax and Audit,
I have never worked at a public accounting firm,No,8.0,70000.0,,Medical,Low,Male,Other,50.0
I have never worked at a public accounting firm,No,8.0,115000.0,,Construction,Low,Male,Advisory,40.0
I have already exited from a mid-tier or local accounting firm,Yes,8.0,90000.0,3.0,Finance,Medium,Male,Audit,45.0
I have never worked at a public accounting firm,Yes,8.0,92000.0,,Technology,Medium,Male,Other,45.0
I have never worked at a public accounting firm,Yes,8.0,114000.0,,Finance,Medium,Male,Audit,45.0
I have already exited from a mid-tier or local accounting firm,Yes,8.0,125000.0,7.0,Finance,Medium,Male,Audit,40.0
I have never worked at a public accounting firm,Finishing Exp Req,8.0,104000.0,,Medical,Low,Male,Other,40.0
I have already exited from a mid-tier or local accounting firm,No,8.0,192000.0,1.0,Finance,High,Male,Advisory,70.0
I have never worked at a public accounting firm,Yes,8.0,121500.0,,Government,High,Female,Audit,45.0
I have already exited from a Big 4 Accounting firm,Yes,7.0,135000.0,6.0,Finance,High,Male,Audit,
I have never worked at a public accounting firm,No,8.5,63500.0,,Transportation,Low,Male,Corporate,
I have already exited from a mid-tier or local accounting firm,Yes,9.0,105000.0,9.0,Technology,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,9.0,110000.0,,Public Accounting,High,Female,Tax,
I have never worked at a public accounting firm,Yes,9.0,74000.0,,Other,High,Male,Other,
I am currently working at a Big 4 accounting firm,Yes,9.0,180000.0,,Public Accounting,High,Male,Advisory,
I am currently working at a mid-tier or local accounting firm,Yes,9.0,95000.0,,Public Accounting,Medium,Female,Audit,
I have never worked at a public accounting firm,No,9.0,92000.0,,Medical,High,Female,Other,
I have already exited from a Big 4 Accounting firm,Yes,7.0,130000.0,3.0,Manufacturing,Medium,Male,Audit,
I have already exited from a mid-tier or local accounting firm,Yes,9.0,105000.0,3.0,Energy,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,9.0,115000.0,,Public Accounting,High,Female,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,9.0,200000.0,,Public Accounting,High,Female,Tax,
I am currently working at a Big 4 accounting firm,No,9.0,144600.0,,Public Accounting,High,Male,Tax,
I have never worked at a public accounting firm,Yes,9.0,110000.0,,Other,High,Male,Other,40.0
I am currently working at a mid-tier or local accounting firm,Yes,9.0,100000.0,,Public Accounting,Low,Male,Other,50.0
I am currently working at a mid-tier or local accounting firm,Yes,9.0,94000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,9.0,156000.0,,Public Accounting,High,Male,Tax,50.0
I have already exited from a Big 4 Accounting firm,Yes,7.0,167000.0,3.0,Technology,Medium,Male,Audit,50.0
I have already exited from a Big 4 Accounting firm,Yes,7.0,154000.0,6.0,Technology,High,Male,Advisory,
I am currently working at a Big 4 accounting firm,Yes,9.0,170000.0,,Public Accounting,High,Female,Tax,55.0
I have never worked at a public accounting firm,No,9.0,150000.0,,Technology,High,Male,Other,60.0
I have never worked at a public accounting firm,No,9.0,88000.0,,Other,Low,Male,Other,45.0
I have never worked at a public accounting firm,No,9.0,120000.0,,Manufacturing,Medium,Male,Finance,40.0
I have already exited from a mid-tier or local accounting firm,Yes,9.0,145000.0,7.0,Technology,Medium,Male,Audit,45.0
